 ,Value_ch1,Value_ch2
1,84.000,59.000
2,86.621,61.958
3,90.533,103.074
4,88.302,160.102
5,142.117,172.139
6,194.040,128.720
7,216.438,85.920
8,200.360,68.750
9,191.741,80.960
10,201.493,88.099
11,173.240,94.880
12,124.240,137.051
13,106.886,174.736
14,114.006,228.976
15,128.227,235.102
16,152.360,152.480
17,159.414,66.744
18,158.083,73.062
19,156.107,67.333
20,151.733,86.296
21,161.000,122.880
22,107.154,178.003
23,96.722,90.470
24,88.035,51.776
25,97.574,39.264
26,132.000,34.000
