 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_GFP-SLC38A1_4_GC.tif:growth cone:1,7.908,46.118,24.242,22,6,114,364.704,46,7056
2,MAX_GFP-SLC38A1_4_GC.tif:growth cone background:1,7.908,16.993,13.580,10,4,76,134.387,12,2600
