 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_WT-SLC38A1_6_GC.tif:growth cone:1,11.836,41.415,21.863,15,4,105,490.201,41,9484
2,MAX_WT-SLC38A1_6_GC.tif:growth cone background:1,11.836,7.777,3.656,6,3,26,92.055,7,1781
