 ,Area,Mean,Min,Max,Length,file
1,0.026,14864.128,14864.128,14864.128,0.320,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
2,0.051,14441.479,9247.989,19634.969,1.202,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
3,0.154,9374.420,5252.988,21729.299,5.136,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
4,0.051,11223.634,6277.594,16169.674,0.793,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
5,0.102,8769.351,5175.902,14932.575,2.998,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
6,0.077,11504.924,6546.998,20421.037,2.190,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
7,0.051,15627.182,10191.346,21063.018,0.993,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
8,0.051,9076.370,5471.971,12680.769,1.011,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
9,0.051,9307.882,5397.277,13218.487,1.002,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
10,0.077,7766.857,4183.406,11735.489,2.085,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
11,0.026,10273.890,10273.890,10273.890,0.320,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
12,0.051,11466.395,6117.181,16815.609,0.853,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
13,0.026,13041.924,13041.924,13041.924,0.316,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
14,0.051,7687.906,5157.468,10218.344,0.552,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
15,0.026,11132.890,11132.890,11132.890,0.333,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
16,0.051,7291.790,5064.269,9519.312,0.992,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
17,0.051,9165.692,6016.854,12314.529,1.009,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
18,0.026,16461.930,16461.930,16461.930,0.308,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
19,0.051,14069.200,7407.349,20731.051,0.577,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
20,0.051,12358.126,8790.179,15926.074,1.081,831ce4c7-0074-45af-b4b9-48a28ac51757.tif
