 ,Area,Mean,Min,Max,Length,file
1,0.051,9445.367,7582.053,11308.681,0.701,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
2,0.051,9247.024,5881.336,12612.712,1.163,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
3,0.051,9790.478,6850.636,12730.320,0.609,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
4,0.026,9819.771,9819.771,9819.771,0.363,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
5,0.051,9851.188,6401.461,13300.916,0.546,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
6,0.026,7445.264,7445.264,7445.264,0.280,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
7,0.077,5884.901,4252.943,8204.287,1.705,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
8,0.051,5856.260,4061.128,7651.393,0.588,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
9,0.051,6253.490,4181.337,8325.642,0.725,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
10,0.051,6798.746,4348.098,9249.394,1.070,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
11,0.051,6212.874,5291.587,7134.161,0.578,224c0214-96ef-4a1f-8498-59f1389b7b27.tif
