"","file","mushroom","thin","stubby","filopodia"
"61","CellCounter_RBD_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,7
"62","CellCounter_RBD_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,3,3
"63","CellCounter_RBD_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,3
"64","CellCounter_RBD_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,2
"65","CellCounter_RBD_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,7,2
"66","CellCounter_RBD_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,6
"67","CellCounter_RBD_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,4,14
"68","CellCounter_RBD_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,7
"69","CellCounter_RBD_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,2,5
"70","CellCounter_RBD_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,3
"71","CellCounter_WT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,2,4
"72","CellCounter_WT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,6,2
"73","CellCounter_WT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,0,7,1
"74","CellCounter_WT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,0
"75","CellCounter_WT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,4,0
"76","CellCounter_WT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,9,0
"77","CellCounter_WT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,3,0
"78","CellCounter_WT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,7,4
"79","CellCounter_WT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,5,0
"80","CellCounter_WT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,2,5
