 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,15,0,15,15,15,65.022,8.582,0.775,15,15
2,duplicate,0.000,13,0,13,13,13,64.851,11.083,0.672,13,13
3,duplicate,0.000,74,0,74,74,74,64.453,13.357,3.825,74,74
4,duplicate,0.000,17,0,17,17,17,64.169,17.335,0.879,17,17
5,duplicate,0.000,11,0,11,11,11,63.714,20.007,0.569,11,11
6,duplicate,0.000,10,0,10,10,10,62.293,29.157,0.517,10,10
7,duplicate,0.000,21,0,21,21,21,62.634,30.294,1.085,21,21
8,duplicate,0.000,30,0,30,30,30,62.748,35.807,1.551,30,30
9,duplicate,0.000,28,0,28,28,28,63.430,45.697,1.447,28,28
10,duplicate,0.000,17,0,17,17,17,63.146,41.775,0.879,17,17
11,duplicate,0.000,15,0,15,15,15,63.260,40.866,0.775,15,15
12,duplicate,0.000,16,0,16,16,16,62.919,50.471,0.827,16,16
13,duplicate,0.000,18,0,18,18,18,59.110,56.610,0.930,18,18
14,duplicate,0.000,20,0,20,20,20,52.347,61.896,1.034,20,20
15,duplicate,0.000,14,0,14,14,14,49.335,64.340,0.724,14,14
16,duplicate,0.000,15,0,15,15,15,45.924,67.409,0.775,15,15
17,duplicate,0.000,17,0,17,17,17,45.185,69.398,0.879,17,17
18,duplicate,0.000,31,0,31,31,31,44.276,70.933,1.602,31,31
19,duplicate,0.000,37,0,37,37,37,42.969,73.490,1.912,37,37
20,duplicate,0.000,12,0,12,12,12,43.423,72.638,0.620,12,12
21,duplicate,0.000,16,0,16,16,16,42.059,74.684,0.827,16,16
22,duplicate,0.000,15,0,15,15,15,39.843,79.344,0.775,15,15
23,duplicate,0.000,12,0,12,12,12,35.921,85.881,0.620,12,12
