 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,11,0,11,11,11,3.808,44.276,0.569,11,11
2,duplicate,0.000,19,0,19,19,19,6.764,44.844,0.982,19,19
3,duplicate,0.000,16,0,16,16,16,7.502,44.901,0.827,16,16
4,duplicate,0.000,8,0,8,8,8,9.037,45.299,0.413,8,8
5,duplicate,0.000,10,0,10,10,10,14.550,42.798,0.517,10,10
6,duplicate,0.000,10,0,10,10,10,20.575,44.788,0.517,10,10
7,duplicate,0.000,22,0,22,22,22,22.451,45.640,1.137,22,22
8,duplicate,0.000,6,0,6,6,6,23.701,46.493,0.310,6,6
9,duplicate,0.000,9,0,9,9,9,44.958,51.665,0.465,9,9
10,duplicate,0.000,7,0,7,7,7,47.800,53.086,0.362,7,7
11,duplicate,0.000,10,0,10,10,10,60.304,60.872,0.517,10,10
12,duplicate,0.000,8,0,8,8,8,64.283,62.862,0.413,8,8
13,duplicate,0.000,11,0,11,11,11,72.354,66.215,0.569,11,11
14,duplicate,0.000,6,0,6,6,6,71.444,65.760,0.310,6,6
15,duplicate,0.000,10,0,10,10,10,86.392,72.751,0.517,10,10
16,duplicate,0.000,5,0,5,5,5,99.522,83.437,0.258,5,5
17,duplicate,0.000,8,0,8,8,8,100.943,84.858,0.413,8,8
18,duplicate,0.000,11,0,11,11,11,104.069,91.223,0.569,11,11
19,duplicate,0.000,6,0,6,6,6,108.104,96.282,0.310,6,6
