 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,17,0,17,17,17,23.417,2.842,0.879,17,17
2,duplicate,0.000,15,0,15,15,15,26.316,5.854,0.775,15,15
3,duplicate,0.000,17,0,17,17,17,28.362,8.241,0.879,17,17
4,duplicate,0.000,16,0,16,16,16,32.340,13.698,0.827,16,16
5,duplicate,0.000,17,0,17,17,17,33.875,16.369,0.879,17,17
6,duplicate,0.000,16,0,16,16,16,35.068,18.245,0.827,16,16
7,duplicate,0.000,8,0,8,8,8,39.388,22.166,0.413,8,8
8,duplicate,0.000,11,0,11,11,11,41.093,24.383,0.569,11,11
9,duplicate,0.000,73,0,73,73,73,45.754,29.157,3.773,73,73
10,duplicate,0.000,24,0,24,24,24,49.107,32.909,1.240,24,24
11,duplicate,0.000,19,0,19,19,19,50.699,34.841,0.982,19,19
12,duplicate,0.000,14,0,14,14,14,53.881,37.853,0.724,14,14
13,duplicate,0.000,7,0,7,7,7,55.132,39.104,0.362,7,7
14,duplicate,0.000,12,0,12,12,12,60.475,45.470,0.620,12,12
15,duplicate,0.000,9,0,9,9,9,65.817,51.210,0.465,9,9
16,duplicate,0.000,14,0,14,14,14,67.750,52.972,0.724,14,14
17,duplicate,0.000,6,0,6,6,6,72.240,58.997,0.310,6,6
18,duplicate,0.000,12,0,12,12,12,76.730,65.590,0.620,12,12
19,duplicate,0.000,48,0,48,48,48,79.458,70.535,2.481,48,48
20,duplicate,0.000,10,0,10,10,10,81.050,73.320,0.517,10,10
21,duplicate,0.000,21,0,21,21,21,79.799,71.558,1.085,21,21
22,duplicate,0.000,15,0,15,15,15,82.584,75.934,0.775,15,15
23,duplicate,0.000,19,0,19,19,19,83.664,78.265,0.982,19,19
24,duplicate,0.000,15,0,15,15,15,84.858,80.879,0.775,15,15
25,duplicate,0.000,18,0,18,18,18,84.858,81.902,0.930,18,18
26,duplicate,0.000,39,0,39,39,39,86.563,87.813,2.016,39,39
27,duplicate,0.000,14,0,14,14,14,87.131,90.087,0.724,14,14
28,duplicate,0.000,13,0,13,13,13,87.302,92.531,0.672,13,13
29,duplicate,0.000,21,0,21,21,21,89.291,96.964,1.085,21,21
30,duplicate,0.000,7,0,7,7,7,89.689,98.783,0.362,7,7
31,duplicate,0.000,7,0,7,7,7,91.337,103.898,0.362,7,7
