 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,12,0,12,12,12,4.263,25.975,0.620,12,12
2,duplicate,0.000,12,0,12,12,12,13.300,28.987,0.620,12,12
3,duplicate,0.000,11,0,11,11,11,16.710,30.294,0.569,11,11
4,duplicate,0.000,12,0,12,12,12,39.161,32.340,0.620,12,12
5,duplicate,0.000,16,0,16,16,16,50.983,33.761,0.827,16,16
6,duplicate,0.000,24,0,24,24,24,55.473,35.523,1.240,24,24
7,duplicate,0.000,20,0,20,20,20,60.418,37.626,1.034,20,20
8,duplicate,0.000,10,0,10,10,10,67.466,41.946,0.517,10,10
9,duplicate,0.000,61,0,61,61,61,69.057,43.196,3.153,61,61
10,duplicate,0.000,10,0,10,10,10,72.922,47.516,0.517,10,10
11,duplicate,0.000,12,0,12,12,12,79.060,56.439,0.620,12,12
12,duplicate,0.000,9,0,9,9,9,86.108,64.169,0.465,9,9
13,duplicate,0.000,14,0,14,14,14,91.564,69.171,0.724,14,14
14,duplicate,0.000,11,0,11,11,11,92.644,70.080,0.569,11,11
15,duplicate,0.000,8,0,8,8,8,98.044,76.957,0.413,8,8
16,duplicate,0.000,8,0,8,8,8,99.749,79.174,0.413,8,8
17,duplicate,0.000,14,0,14,14,14,105.887,86.051,0.724,14,14
18,duplicate,0.000,15,0,15,15,15,106.626,87.017,0.775,15,15
19,duplicate,0.000,11,0,11,11,11,107.990,89.348,0.569,11,11
20,duplicate,0.000,4,0,4,4,4,112.651,99.237,0.207,4,4
21,duplicate,0.000,13,0,13,13,13,112.992,108.047,0.672,13,13
22,duplicate,0.000,14,0,14,14,14,112.821,112.878,0.724,14,14
