File,ROI_length,Count
MUT2PG_C9_01_W1561_T.stk,554.305,2
WTPG_C3_01_W1561_T.stk,577.975,1
GFPPG_C8_01_W1561_T.stk,455.457,2
MUT2PG_C4_01_W1561_T.stk,349.971,0
MUT2PG_C2_01_W1561_T.stk,403.862,2
GFPPG_C1_01_W1561_T.stk,528.106,4
WTPG_C6_01_W1561_T.stk,495.476,3
GFPPG_C4_01_W1561_T.stk,455.968,3
MUT2PG_C8_01_W1561_T.stk,473.680,1
GFPPG_C2_01_W1561_T.stk,307.043,2
MUT2PG_C3_01_W1561_T.stk,298.210,2
GFPPG_C5_01_W1561_T.stk,514.907,1
MUT2PG_C1_01_W1561_T.stk,488.155,3
MUT2PG_C5_01_W1561_T.stk,489.988,2
MUT2PG_C6_01_W1561_T.stk,529.191,1
GFPPG_C6_01_W1561_T.stk,574.422,2
WTPG_C2_01_W1561_T.stk,408.315,3
WTPG_C4_01_W1561_T.stk,558.344,2
WTPG_C1_01_W1561_T.stk,485.436,2
GFPPG_C7_01_W1561_T.stk,348.587,1
GFPPG_C3_01_W1561_T.stk,286.928,2
WTPG_C7_01_W1561_T.stk,527.808,5
WTPG_C5_01_W1561_T.stk,498.975,0
WTPG_C8_01_W1561_T.stk,418.002,2
