 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,13,0,13,13,13,5.873,47.478,0.672,13,13
2,duplicate,0.000,18,0,18,18,18,7.692,47.629,0.930,18,18
3,duplicate,0.000,11,0,11,11,11,9.814,47.478,0.569,11,11
4,duplicate,0.000,145,0,145,145,145,13.451,47.554,7.495,145,145
5,duplicate,0.000,23,0,23,23,23,26.334,49.903,1.189,23,23
6,duplicate,0.000,52,0,52,52,52,29.366,50.888,2.688,52,52
7,duplicate,0.000,15,0,15,15,15,29.972,51.343,0.775,15,15
8,duplicate,0.000,36,0,36,36,36,33.534,52.480,1.861,36,36
9,duplicate,0.000,14,0,14,14,14,37.626,54.147,0.724,14,14
10,duplicate,0.000,31,0,31,31,31,41.643,55.359,1.602,31,31
11,duplicate,0.000,9,0,9,9,9,43.765,55.966,0.465,9,9
12,duplicate,0.000,8,0,8,8,8,50.585,57.557,0.413,8,8
13,duplicate,0.000,38,0,38,38,38,53.465,58.391,1.964,38,38
14,duplicate,0.000,13,0,13,13,13,52.934,58.163,0.672,13,13
15,duplicate,0.000,16,0,16,16,16,56.496,59.452,0.827,16,16
16,duplicate,0.000,16,0,16,16,16,63.923,60.740,0.827,16,16
17,duplicate,0.000,13,0,13,13,13,66.727,61.498,0.672,13,13
18,duplicate,0.000,8,0,8,8,8,70.895,64.681,0.413,8,8
19,duplicate,0.000,29,0,29,29,29,74.835,67.636,1.499,29,29
20,duplicate,0.000,14,0,14,14,14,73.471,66.424,0.724,14,14
21,duplicate,0.000,13,0,13,13,13,80.671,70.970,0.672,13,13
22,duplicate,0.000,6,0,6,6,6,83.702,72.183,0.310,6,6
23,duplicate,0.000,8,0,8,8,8,84.763,73.092,0.413,8,8
24,duplicate,0.000,23,0,23,23,23,88.628,72.941,1.189,23,23
25,duplicate,0.000,45,0,45,45,45,91.811,72.335,2.326,45,45
26,duplicate,0.000,9,0,9,9,9,94.615,75.214,0.465,9,9
27,duplicate,0.000,11,0,11,11,11,95.297,75.366,0.569,11,11
28,duplicate,0.000,17,0,17,17,17,96.358,76.351,0.879,17,17
29,duplicate,0.000,18,0,18,18,18,98.176,78.246,0.930,18,18
