 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,11,0,11,11,11,6.423,76.787,0.569,11,11
2,duplicate,0.000,13,0,13,13,13,26.998,68.148,0.672,13,13
3,duplicate,0.000,8,0,8,8,8,40.638,62.123,0.413,8,8
4,duplicate,0.000,9,0,9,9,9,52.347,59.963,0.465,9,9
5,duplicate,0.000,10,0,10,10,10,53.143,59.565,0.517,10,10
6,duplicate,0.000,31,0,31,31,31,71.728,47.857,1.602,31,31
7,duplicate,0.000,12,0,12,12,12,75.877,40.752,0.620,12,12
8,duplicate,0.000,14,0,14,14,14,76.673,40.695,0.724,14,14
9,duplicate,0.000,13,0,13,13,13,85.653,32.113,0.672,13,13
10,duplicate,0.000,9,0,9,9,9,88.382,30.578,0.465,9,9
11,duplicate,0.000,11,0,11,11,11,89.802,29.612,0.569,11,11
12,duplicate,0.000,7,0,7,7,7,91.678,28.646,0.362,7,7
13,duplicate,0.000,5,0,5,5,5,103.784,25.690,0.258,5,5
