 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,13,0,13,13,13,2.444,70.762,0.672,13,13
2,duplicate,0.000,10,0,10,10,10,4.035,70.705,0.517,10,10
3,duplicate,0.000,13,0,13,13,13,5.456,70.421,0.672,13,13
4,duplicate,0.000,11,0,11,11,11,7.218,69.625,0.569,11,11
5,duplicate,0.000,9,0,9,9,9,8.980,69.512,0.465,9,9
6,duplicate,0.000,43,0,43,43,43,13.300,69.227,2.223,43,43
7,duplicate,0.000,14,0,14,14,14,16.312,68.773,0.724,14,14
8,duplicate,0.000,20,0,20,20,20,17.733,68.886,1.034,20,20
9,duplicate,0.000,11,0,11,11,11,19.325,68.716,0.569,11,11
10,duplicate,0.000,5,0,5,5,5,22.394,67.238,0.258,5,5
11,duplicate,0.000,8,0,8,8,8,21.598,67.693,0.413,8,8
12,duplicate,0.000,22,0,22,22,22,25.861,67.579,1.137,22,22
13,duplicate,0.000,105,0,105,105,105,26.941,67.807,5.427,105,105
14,duplicate,0.000,9,0,9,9,9,31.601,68.204,0.465,9,9
15,duplicate,0.000,11,0,11,11,11,47.516,66.783,0.569,11,11
16,duplicate,0.000,16,0,16,16,16,56.098,65.760,0.827,16,16
17,duplicate,0.000,7,0,7,7,7,56.780,65.533,0.362,7,7
18,duplicate,0.000,23,0,23,23,23,61.668,64.794,1.189,23,23
19,duplicate,0.000,14,0,14,14,14,66.783,63.544,0.724,14,14
20,duplicate,0.000,23,0,23,23,23,69.739,62.009,1.189,23,23
21,duplicate,0.000,12,0,12,12,12,70.705,60.986,0.620,12,12
22,duplicate,0.000,15,0,15,15,15,72.354,60.247,0.775,15,15
23,duplicate,0.000,14,0,14,14,14,79.060,55.473,0.724,14,14
24,duplicate,0.000,18,0,18,18,18,87.813,50.642,0.930,18,18
25,duplicate,0.000,5,0,5,5,5,88.552,50.755,0.258,5,5
26,duplicate,0.000,12,0,12,12,12,91.223,50.130,0.620,12,12
27,duplicate,0.000,11,0,11,11,11,92.076,50.755,0.569,11,11
28,duplicate,0.000,109,0,109,109,109,104.807,47.402,5.634,109,109
29,duplicate,0.000,9,0,9,9,9,108.672,48.255,0.465,9,9
30,duplicate,0.000,11,0,11,11,11,110.946,49.164,0.569,11,11
31,duplicate,0.000,7,0,7,7,7,112.935,48.994,0.362,7,7
