 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,15,0,15,15,15,4.206,59.963,0.775,15,15
2,duplicate,0.000,39,0,39,39,39,5.627,59.395,2.016,39,39
3,duplicate,0.000,7,0,7,7,7,12.731,60.418,0.362,7,7
4,duplicate,0.000,18,0,18,18,18,18.074,62.919,0.930,18,18
5,duplicate,0.000,4,0,4,4,4,21.030,64.965,0.207,4,4
6,duplicate,0.000,6,0,6,6,6,24.667,65.419,0.310,6,6
7,duplicate,0.000,21,0,21,21,21,27.225,65.306,1.085,21,21
8,duplicate,0.000,56,0,56,56,56,36.092,64.965,2.894,56,56
9,duplicate,0.000,6,0,6,6,6,37.285,64.908,0.310,6,6
10,duplicate,0.000,9,0,9,9,9,42.457,64.567,0.465,9,9
11,duplicate,0.000,14,0,14,14,14,48.482,65.363,0.724,14,14
12,duplicate,0.000,13,0,13,13,13,49.960,64.624,0.672,13,13
13,duplicate,0.000,7,0,7,7,7,47.004,65.022,0.362,7,7
14,duplicate,0.000,5,0,5,5,5,63.089,67.750,0.258,5,5
15,duplicate,0.000,9,0,9,9,9,66.386,69.853,0.465,9,9
16,duplicate,0.000,10,0,10,10,10,67.693,70.080,0.517,10,10
17,duplicate,0.000,3,0,3,3,3,68.830,69.910,0.155,3,3
18,duplicate,0.000,17,0,17,17,17,72.695,68.489,0.879,17,17
19,duplicate,0.000,15,0,15,15,15,77.753,65.931,0.775,15,15
20,duplicate,0.000,14,0,14,14,14,82.698,61.157,0.724,14,14
21,duplicate,0.000,7,0,7,7,7,86.790,57.860,0.362,7,7
22,duplicate,0.000,11,0,11,11,11,89.120,55.984,0.569,11,11
23,duplicate,0.000,11,0,11,11,11,89.859,55.530,0.569,11,11
24,duplicate,0.000,61,0,61,61,61,91.053,53.711,3.153,61,61
25,duplicate,0.000,24,0,24,24,24,94.690,52.233,1.240,24,24
26,duplicate,0.000,8,0,8,8,8,93.952,59.224,0.413,8,8
27,duplicate,0.000,9,0,9,9,9,94.861,57.121,0.465,9,9
28,duplicate,0.000,9,0,9,9,9,94.975,55.757,0.465,9,9
29,duplicate,0.000,15,0,15,15,15,93.667,62.748,0.775,15,15
30,duplicate,0.000,14,0,14,14,14,101.056,69.569,0.724,14,14
31,duplicate,0.000,12,0,12,12,12,110.207,76.332,0.620,12,12
