 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,15,0,15,15,15,2.444,106.228,0.775,15,15
2,duplicate,0.000,10,0,10,10,10,5.002,98.896,0.517,10,10
3,duplicate,0.000,9,0,9,9,9,6.991,97.362,0.465,9,9
4,duplicate,0.000,17,0,17,17,17,8.980,96.339,0.879,17,17
5,duplicate,0.000,8,0,8,8,8,11.367,95.827,0.413,8,8
6,duplicate,0.000,4,0,4,4,4,13.129,94.804,0.207,4,4
7,duplicate,0.000,16,0,16,16,16,14.550,94.634,0.827,16,16
8,duplicate,0.000,10,0,10,10,10,16.312,94.008,0.517,10,10
9,duplicate,0.000,13,0,13,13,13,17.733,93.383,0.672,13,13
10,duplicate,0.000,9,0,9,9,9,19.950,92.190,0.465,9,9
11,duplicate,0.000,13,0,13,13,13,24.213,90.655,0.672,13,13
12,duplicate,0.000,21,0,21,21,21,28.305,88.097,1.085,21,21
13,duplicate,0.000,12,0,12,12,12,29.271,87.188,0.620,12,12
14,duplicate,0.000,12,0,12,12,12,29.839,86.335,0.620,12,12
15,duplicate,0.000,24,0,24,24,24,30.862,85.028,1.240,24,24
16,duplicate,0.000,21,0,21,21,21,34.273,80.595,1.085,21,21
17,duplicate,0.000,24,0,24,24,24,40.354,74.798,1.240,24,24
18,duplicate,0.000,15,0,15,15,15,43.082,72.695,0.775,15,15
19,duplicate,0.000,27,0,27,27,27,44.731,72.126,1.396,27,27
20,duplicate,0.000,10,0,10,10,10,47.061,70.762,0.517,10,10
21,duplicate,0.000,6,0,6,6,6,49.278,69.171,0.310,6,6
22,duplicate,0.000,17,0,17,17,17,50.414,68.489,0.879,17,17
23,duplicate,0.000,20,0,20,20,20,62.407,61.554,1.034,20,20
24,duplicate,0.000,15,0,15,15,15,65.192,58.883,0.775,15,15
25,duplicate,0.000,55,0,55,55,55,68.659,56.382,2.843,55,55
26,duplicate,0.000,11,0,11,11,11,66.329,58.258,0.569,11,11
27,duplicate,0.000,9,0,9,9,9,70.876,54.052,0.465,9,9
28,duplicate,0.000,5,0,5,5,5,76.048,49.732,0.258,5,5
29,duplicate,0.000,12,0,12,12,12,82.471,47.516,0.620,12,12
30,duplicate,0.000,150,0,150,150,150,83.266,46.777,7.753,150,150
31,duplicate,0.000,9,0,9,9,9,87.870,43.480,0.465,9,9
32,duplicate,0.000,7,0,7,7,7,89.291,42.230,0.362,7,7
33,duplicate,0.000,31,0,31,31,31,90.087,41.434,1.602,31,31
34,duplicate,0.000,9,0,9,9,9,98.385,34.500,0.465,9,9
35,duplicate,0.000,9,0,9,9,9,100.204,32.568,0.465,9,9
36,duplicate,0.000,5,0,5,5,5,104.921,27.225,0.258,5,5
