 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,14,0,14,14,14,2.217,58.997,0.724,14,14
2,duplicate,0.000,10,0,10,10,10,2.956,59.281,0.517,10,10
3,duplicate,0.000,11,0,11,11,11,4.547,59.508,0.569,11,11
4,duplicate,0.000,11,0,11,11,11,5.854,60.304,0.569,11,11
5,duplicate,0.000,11,0,11,11,11,6.764,60.304,0.569,11,11
6,duplicate,0.000,23,0,23,23,23,11.993,60.759,1.189,23,23
7,duplicate,0.000,16,0,16,16,16,12.902,60.986,0.827,16,16
8,duplicate,0.000,7,0,7,7,7,13.811,60.986,0.362,7,7
9,duplicate,0.000,9,0,9,9,9,15.175,61.213,0.465,9,9
10,duplicate,0.000,6,0,6,6,6,17.222,61.668,0.310,6,6
11,duplicate,0.000,7,0,7,7,7,20.575,62.009,0.362,7,7
12,duplicate,0.000,28,0,28,28,28,21.257,61.896,1.447,28,28
13,duplicate,0.000,6,0,6,6,6,23.360,62.009,0.310,6,6
14,duplicate,0.000,58,0,58,58,58,24.269,62.066,2.998,58,58
15,duplicate,0.000,9,0,9,9,9,25.292,62.123,0.465,9,9
16,duplicate,0.000,12,0,12,12,12,33.250,61.896,0.620,12,12
17,duplicate,0.000,14,0,14,14,14,37.683,62.066,0.724,14,14
18,duplicate,0.000,13,0,13,13,13,40.866,62.464,0.672,13,13
19,duplicate,0.000,11,0,11,11,11,43.253,63.146,0.569,11,11
20,duplicate,0.000,20,0,20,20,20,48.994,64.055,1.034,20,20
21,duplicate,0.000,15,0,15,15,15,50.471,64.624,0.775,15,15
22,duplicate,0.000,9,0,9,9,9,52.688,64.396,0.465,9,9
23,duplicate,0.000,9,0,9,9,9,59.110,64.055,0.465,9,9
24,duplicate,0.000,26,0,26,26,26,61.839,63.714,1.344,26,26
25,duplicate,0.000,38,0,38,38,38,63.714,63.487,1.964,38,38
26,duplicate,0.000,11,0,11,11,11,68.830,63.885,0.569,11,11
27,duplicate,0.000,11,0,11,11,11,78.321,63.260,0.569,11,11
28,duplicate,0.000,13,0,13,13,13,80.424,63.260,0.672,13,13
29,duplicate,0.000,15,0,15,15,15,81.561,63.260,0.775,15,15
30,duplicate,0.000,11,0,11,11,11,85.199,62.464,0.569,11,11
31,duplicate,0.000,8,0,8,8,8,88.438,62.862,0.413,8,8
32,duplicate,0.000,11,0,11,11,11,92.076,62.805,0.569,11,11
33,duplicate,0.000,16,0,16,16,16,93.895,62.805,0.827,16,16
34,duplicate,0.000,9,0,9,9,9,73.206,63.487,0.465,9,9
35,duplicate,0.000,10,0,10,10,10,103.671,62.407,0.517,10,10
36,duplicate,0.000,6,0,6,6,6,106.342,60.134,0.310,6,6
37,duplicate,0.000,11,0,11,11,11,112.367,57.405,0.569,11,11
38,duplicate,0.000,10,0,10,10,10,104.580,61.554,0.517,10,10
39,duplicate,0.000,8,0,8,8,8,114.527,56.325,0.413,8,8
