 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen
1,duplicate,0.000,6,0,6,6,6,9.378,26.202,0.310,6,6
2,duplicate,0.000,27,0,27,27,27,13.811,29.442,1.396,27,27
3,duplicate,0.000,7,0,7,7,7,15.175,29.896,0.362,7,7
4,duplicate,0.000,8,0,8,8,8,18.927,32.283,0.413,8,8
5,duplicate,0.000,6,0,6,6,6,19.779,32.795,0.310,6,6
6,duplicate,0.000,7,0,7,7,7,25.463,36.433,0.362,7,7
7,duplicate,0.000,8,0,8,8,8,26.657,38.479,0.413,8,8
8,duplicate,0.000,18,0,18,18,18,31.715,43.082,0.930,18,18
9,duplicate,0.000,13,0,13,13,13,32.909,44.106,0.672,13,13
10,duplicate,0.000,21,0,21,21,21,46.663,57.633,1.085,21,21
11,duplicate,0.000,4,0,4,4,4,49.505,59.281,0.207,4,4
12,duplicate,0.000,13,0,13,13,13,52.063,61.327,0.672,13,13
13,duplicate,0.000,8,0,8,8,8,52.688,62.464,0.413,8,8
14,duplicate,0.000,10,0,10,10,10,54.620,64.681,0.517,10,10
15,duplicate,0.000,20,0,20,20,20,59.565,69.171,1.034,20,20
16,duplicate,0.000,9,0,9,9,9,61.896,72.183,0.465,9,9
17,duplicate,0.000,9,0,9,9,9,69.512,77.810,0.465,9,9
18,duplicate,0.000,9,0,9,9,9,74.286,79.344,0.465,9,9
19,duplicate,0.000,20,0,20,20,20,75.423,80.311,1.034,20,20
20,duplicate,0.000,16,0,16,16,16,75.650,79.856,0.827,16,16
21,duplicate,0.000,8,0,8,8,8,89.746,87.415,0.413,8,8
22,duplicate,0.000,16,0,16,16,16,93.724,90.882,0.827,16,16
23,duplicate,0.000,13,0,13,13,13,96.623,94.236,0.672,13,13
24,duplicate,0.000,5,0,5,5,5,98.101,96.680,0.258,5,5
25,duplicate,0.000,7,0,7,7,7,98.385,98.726,0.362,7,7
26,duplicate,0.000,10,0,10,10,10,100.260,100.317,0.517,10,10
27,duplicate,0.000,8,0,8,8,8,105.376,103.784,0.413,8,8
