 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-11_SURF4_2_BOTH.tif:cell body:1,103.995,30.565,10.686,28.000,6.000,78.000,0.000,0.000,3178.552,30.000,61496.000,0,0.000
2,MAX_i3-11_SURF4_2_BOTH.tif:nucleus:1,49.465,32.011,6.747,28.000,13.000,63.000,0.000,0.000,1583.436,32.000,30635.000,0,0.000
3,MAX_i3-11_SURF4_2_BOTH.tif:cytoplasm:1,54.530,29.252,13.151,27.000,6.000,78.000,0.000,0.000,1595.117,28.000,30861.000,0,0.000
4,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 1:1,0.930,17.287,5.173,14.368,10.932,29.451,0.000,0.000,16.084,15.397,311.174,0,3.974
5,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 1 background:1,0.930,4.336,0.743,3.047,3.041,6.000,0.000,0.000,4.034,4.128,78.042,0,3.974
6,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 2:1,0.000,5.000,0.000,5.000,5.000,5.000,87.984,30.237,0.258,5.000,5.000,1,0.000
7,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 2 background:1,0.000,3.000,0.000,3.000,3.000,3.000,90.257,32.511,0.155,3.000,3.000,1,0.000
8,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,87.984,30.237,0.258,5.000,5.000,1,0.000
9,MAX_i3-11_SURF4_2_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,90.257,32.511,0.155,3.000,3.000,1,0.000
10,MAX_i3-11_SURF4_2_BOTH.tif:AIS:1,3.980,50.767,12.522,41.071,24.720,79.436,0.000,0.000,202.046,49.675,3909.023,0,17.300
11,MAX_i3-11_SURF4_2_BOTH.tif:AIS background:1,3.980,4.267,0.921,4.005,3.000,7.721,0.000,0.000,16.981,4.017,328.540,0,17.300
12,MAX_i3-11_SURF4_2_BOTH.tif:axon:1,12.250,39.960,15.820,29.259,10.121,84.920,0.000,0.000,489.507,39.423,9470.575,0,53.793
13,MAX_i3-11_SURF4_2_BOTH.tif:axon background:1,12.250,4.533,1.260,3.999,3.000,14.361,0.000,0.000,55.527,4.337,1074.281,0,53.793
14,MAX_i3-11_SURF4_2_BOTH.tif:growth cone:1,171.033,7.765,4.569,5.000,3.000,41.000,0.000,0.000,1328.101,6.000,25695.000,0,0.000
15,MAX_i3-11_SURF4_2_BOTH.tif:growth cone background:1,171.033,3.955,0.981,4.000,3.000,17.000,0.000,0.000,676.481,4.000,13088.000,0,0.000
