 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_i3-11_SLC38A1_2_GC.tif:growth cone:1,35.871,22.298,10.905,15,4,60,799.859,21,15475
2,MAX_i3-11_SLC38A1_2_GC.tif:growth cone background:1,35.871,6.329,2.352,9,3,19,227.010,6,4392
