"","file","mushroom","thin","stubby","filopodia"
"1","CellCounter_ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,2
"2","CellCounter_ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,3,10
"3","CellCounter_ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,3
"4","CellCounter_ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,6,2
"5","CellCounter_ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,5,5,3
"6","CellCounter_ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,3,3,3
"7","CellCounter_ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,4,3
"8","CellCounter_ER_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,2,3
"9","CellCounter_ER_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,7,2
"10","CellCounter_ER_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,1,5
"11","CellCounter_FFAT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,6,2
"12","CellCounter_FFAT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,2,2,1
"13","CellCounter_FFAT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,7,6
"14","CellCounter_FFAT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,4,5,3
"15","CellCounter_FFAT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,3,1,3
"16","CellCounter_FFAT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,3,2
"17","CellCounter_FFAT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,5,8,0
"18","CellCounter_FFAT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,7,8,0
"19","CellCounter_FFAT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,1,6
"20","CellCounter_FFAT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,6,9
"21","CellCounter_FYVE_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,2
"22","CellCounter_FYVE_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,1,5,1
"23","CellCounter_FYVE_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,3,1
"24","CellCounter_FYVE_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,5,4
"25","CellCounter_FYVE_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,3,4
"26","CellCounter_FYVE_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,4,0,1
"27","CellCounter_FYVE_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,2,4
"28","CellCounter_FYVE_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,5,2
