 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_8723ff6d-e2c9-4702-8e5e-6b135e6f1ddb.tif:growth cone:1,6.874,104.752,41.312,121.264,27,194,720.105,103,13932
2,SUM_8723ff6d-e2c9-4702-8e5e-6b135e6f1ddb.tif:growth cone background:1,6.874,20.609,13.985,10.797,4,124,141.674,17,2741
