 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_bb0be534-1dae-45e4-81d3-16d35d321653.tif:growth cone:1,17.367,115.330,57.680,88.541,30,339,2002.928,99,38751
2,SUM_bb0be534-1dae-45e4-81d3-16d35d321653.tif:growth cone background:1,17.367,45.307,18.067,42.020,12,118,786.833,42,15223
