 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_8749c77e-be94-4ba8-85a1-70e031111578.tif:growth cone:1,2.378,80.000,5.400,79.986,72,101,190.209,80,3680.000
2,SUM_8749c77e-be94-4ba8-85a1-70e031111578.tif:growth cone background:1,2.378,77.109,8.306,72.062,72,104,183.334,73,3547.000
