 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_d84f86ab-9e85-4a2a-a790-7844cc8e5e61.tif:growth cone:1,9.097,220.648,71.979,145.348,117,471,2007.218,205,38834
2,SUM_d84f86ab-9e85-4a2a-a790-7844cc8e5e61.tif:growth cone background:1,9.097,134.699,17.605,126.906,107,219,1225.347,132,23707
