 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_d4672837-09be-4615-8813-61234f838828.tif:growth cone:1,7.133,318.181,85.052,356.955,137,524,2269.531,315.500,43909
2,SUM_d4672837-09be-4615-8813-61234f838828.tif:growth cone background:1,7.133,197.174,41.737,147.252,104,319,1406.407,199.000,27210
