 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_b8f366c1-f5bd-4d95-8777-3971c6a3b3b7.tif:growth cone:1,6.461,132.344,12.626,114.100,114,165,855.060,132,16543
2,SUM_b8f366c1-f5bd-4d95-8777-3971c6a3b3b7.tif:growth cone background:1,6.461,114.296,0.898,114.014,114,121,738.454,114,14287
