Gene symbol,06h [339],06h [340],06h [341],12h [342],12h [343],12h [344],24h [345],24h [346],24h [347],36h [348],36h [349],36h [350],Peripheral lesion [74],Peripheral lesion [75],Peripheral lesion [124],Sham operated [69],Sham operated [70],Sham operated [123],E12.5 [84],E12.5 [86],E12.5 [87],E17.5 [336],E17.5 [337],E17.5 [338]
Mfsd10,54.454,92.3503,52.891,93.5107,163.738,120.905,162.326,165.666,101.25,144.453,153.51,171.697,66.5655,58.448,71.1171,71.8329,58.4829,51.0405,95.5158,89.3021,136.251,77.8226,67.0148,106.364
Mfsd11,539.458,559.049,430.18,638.99,642.281,603.841,789.493,774.717,725.762,782.635,803.216,833.564,656.366,576.131,620.973,460.518,515.381,482.877,188.287,196.593,245.108,320.472,225.734,265.909
Mfsd12,23.9598,36.2805,28.2085,11.6888,49.2188,25.957,31.9732,39.5488,33.2101,56.0565,52.7208,49.8477,52.6332,50.0983,58.3969,52.1526,64.3312,49.8935,32.3875,41.1175,28.1153,37.5997,24.6897,55.494
Mfsd2a,74.7835,74.7598,70.5213,62.3405,78.945,62.8432,108.217,84.3708,88.2902,115.347,190.725,131.081,133.905,133.595,136.452,192.866,183.49,159.43,80.1455,79.0228,38.208,102.743,88.1774,97.1145
Mfsd2b,66.0709,54.4207,42.3128,58.4442,57.9905,67.6248,46.7301,50.974,51.8401,33.4183,46.5183,29.5394,34.0567,28.389,24.8621,13.7762,18.2759,19.4986,70.8134,78.3803,66.3234,56.8367,35.2709,60.1185
Mfsd3,66.0709,81.3562,56.417,38.9628,86.742,73.7725,71.3249,70.7484,61.5602,49.5885,63.575,84.9256,92.882,100.197,87.3063,114.145,118.428,129.608,50.5026,53.9668,51.1843,73.0134,52.9064,108.676
Mfsd4,167.718,125.333,119.886,109.096,119.392,150.96,150.028,125.677,125.55,121.815,93.0366,114.465,147.063,173.674,154.954,114.145,134.511,146.813,78.4986,95.0843,95.8805,89.19,112.867,106.364
Mfsd5,713.711,716.265,426.654,529.894,905.431,888.002,927.223,1015.53,787.322,974.521,1336.63,1053.26,876.187,896.76,797.321,885.611,825.34,824.103,518.75,490.198,493.1,461.252,338.601,506.383
Mfsd6,5294.38,4841.24,5585.29,4905.41,4202.12,5275.42,3305.54,3754.94,3900.16,2959.14,2829.86,3234.56,4421.18,4807.77,4014.36,5206.41,5381.16,5369.57,317.837,383.549,255.922,1130.18,1322.66,1077.51
Mfsd6l,5.08238,6.59645,10.5782,0,8.77167,6.83079,4.91896,9.66748,7.29002,8.62408,1.55061,10.1542,5.41812,0,6.93825,0,0,0.573488,1.64682,1.28492,0.720906,1.74882,0,0
