 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_4b2b7db2-147e-4036-8d2b-2cb1247ceb32.tif:growth cone:1,1.396,389.333,133.945,356.643,189,648,543.335,357,10512
2,SUM_4b2b7db2-147e-4036-8d2b-2cb1247ceb32.tif:growth cone background:1,1.396,250.185,86.418,203.855,158,416,349.147,207,6755
