 ,Area,Mean,Min,Max,Length,file
1,0.077,22381.389,15145.304,32265.734,1.766,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
2,0.051,16473.932,9704.272,23243.592,0.715,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
3,0.128,14992.632,8086.021,28719.240,3.600,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
4,0.077,16524.787,6928.602,31333.258,1.537,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
5,0.102,12811.740,8878.375,21236.791,3.083,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
6,0.051,16731.225,12087.688,21374.762,1.383,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
7,0.051,16508.035,12633.818,20382.252,1.252,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
8,0.102,10416.225,5991.737,17725.516,2.552,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
9,0.102,11648.477,6438.832,24113.422,2.742,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
10,0.051,13100.531,8066.288,18134.775,0.962,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
11,0.051,14703.640,10028.590,19378.689,1.222,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
12,0.051,17603.553,8853.925,26353.182,0.555,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
13,0.026,19450.273,19450.273,19450.273,0.315,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
14,0.026,23074.490,23074.490,23074.490,0.226,088a85eb-1812-40c0-b26c-9ea127ba85b7.tif
