 ,Area,Mean,Min,Max,Length,file
1,0.051,23432.763,10913.542,35951.984,1.212,52623342-5f91-48e1-a58d-f001c52408aa.tif
2,0.051,39882.107,15860.667,63903.547,0.966,52623342-5f91-48e1-a58d-f001c52408aa.tif
3,0.051,27194.326,16692.859,37695.793,1.280,52623342-5f91-48e1-a58d-f001c52408aa.tif
4,0.051,35016.798,17143.396,52890.199,1.116,52623342-5f91-48e1-a58d-f001c52408aa.tif
5,0.026,55897.801,55897.801,55897.801,0.409,52623342-5f91-48e1-a58d-f001c52408aa.tif
6,0.026,58523.891,58523.891,58523.891,0.434,52623342-5f91-48e1-a58d-f001c52408aa.tif
7,0.051,37311.761,16401.877,58221.645,1.189,52623342-5f91-48e1-a58d-f001c52408aa.tif
8,0.026,54212.281,54212.281,54212.281,0.384,52623342-5f91-48e1-a58d-f001c52408aa.tif
9,0.026,57367.230,57367.230,57367.230,0.356,52623342-5f91-48e1-a58d-f001c52408aa.tif
10,0.051,27156.655,13622.674,40690.637,0.661,52623342-5f91-48e1-a58d-f001c52408aa.tif
11,0.051,25139.065,15468.810,34809.320,0.964,52623342-5f91-48e1-a58d-f001c52408aa.tif
12,0.026,54692.660,54692.660,54692.660,0.261,52623342-5f91-48e1-a58d-f001c52408aa.tif
13,0.051,40529.472,24046.924,57012.020,0.965,52623342-5f91-48e1-a58d-f001c52408aa.tif
14,0.051,33618.222,15177.952,52058.492,1.292,52623342-5f91-48e1-a58d-f001c52408aa.tif
15,0.051,26463.915,13458.872,39468.957,1.067,52623342-5f91-48e1-a58d-f001c52408aa.tif
16,0.026,62120.422,62120.422,62120.422,0.338,52623342-5f91-48e1-a58d-f001c52408aa.tif
17,0.026,38871.113,38871.113,38871.113,0.239,52623342-5f91-48e1-a58d-f001c52408aa.tif
18,0.051,24535.558,15882.308,33188.809,0.579,52623342-5f91-48e1-a58d-f001c52408aa.tif
19,0.026,61519.797,61519.797,61519.797,0.481,52623342-5f91-48e1-a58d-f001c52408aa.tif
20,0.051,42482.894,19430.787,65535.000,1.419,52623342-5f91-48e1-a58d-f001c52408aa.tif
