 ,Area,Mean,Min,Max,Length,file
1,0.128,33347.638,12758.750,55385.129,3.644,ca99e291-9013-4044-97e3-aa250427a87c.tif
2,0.077,38120.024,29975.834,47859.680,1.575,ca99e291-9013-4044-97e3-aa250427a87c.tif
3,0.128,23052.505,14595.635,46537.859,4.344,ca99e291-9013-4044-97e3-aa250427a87c.tif
4,0.077,33666.453,25048.789,43952.738,1.625,ca99e291-9013-4044-97e3-aa250427a87c.tif
5,0.051,34675.563,15142.334,54208.793,0.638,ca99e291-9013-4044-97e3-aa250427a87c.tif
6,0.026,62221.973,62221.973,62221.973,0.410,ca99e291-9013-4044-97e3-aa250427a87c.tif
7,0.051,40068.105,17445.273,62690.938,0.690,ca99e291-9013-4044-97e3-aa250427a87c.tif
8,0.102,42207.701,20017.748,55903.035,2.582,ca99e291-9013-4044-97e3-aa250427a87c.tif
9,0.128,28654.421,14293.684,49322.098,4.335,ca99e291-9013-4044-97e3-aa250427a87c.tif
10,0.102,29696.320,14088.079,55821.133,3.011,ca99e291-9013-4044-97e3-aa250427a87c.tif
11,0.102,28993.725,12600.691,63694.941,2.641,ca99e291-9013-4044-97e3-aa250427a87c.tif
12,0.051,35389.342,26826.242,43952.441,1.244,ca99e291-9013-4044-97e3-aa250427a87c.tif
13,0.051,39095.868,20925.080,57266.656,1.418,ca99e291-9013-4044-97e3-aa250427a87c.tif
14,0.026,44071.027,44071.027,44071.027,0.449,ca99e291-9013-4044-97e3-aa250427a87c.tif
15,0.051,40383.997,29363.564,51404.430,1.090,ca99e291-9013-4044-97e3-aa250427a87c.tif
