 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_DMSO-for-GCA_3_GC.tif:growth cone:1,87.610,13.173,10.920,5,3,203,1154.070,10,22328
2,MAX_DMSO-for-GCA_3_GC.tif:growth cone background:1,87.610,4.120,1.437,4,3,28,360.983,4,6984
