 ,Area,Mean,Min,Max,Length,file
1,0.026,76.885,34.719,119.050,1.277,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
2,0.026,101.683,65.451,137.915,0.510,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
3,0.026,108.196,17.890,198.503,0.659,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
4,0.052,68.616,25.921,116.321,2.595,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
5,0.039,92.117,68.745,124.439,1.949,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
6,0.026,96.525,55.020,138.031,1.233,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
7,0.013,76.856,76.856,76.856,0.271,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
8,0.039,89.296,26.002,183.010,2.208,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
9,0.013,125.870,125.870,125.870,0.268,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
10,0.039,37.450,21.121,63.043,1.624,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
11,0.013,70.556,70.556,70.556,0.329,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
12,0.013,82.122,82.122,82.122,0.400,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
13,0.013,92.306,92.306,92.306,0.210,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
14,0.065,53.222,33.152,78.081,3.970,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
15,0.026,92.537,61.283,123.791,0.811,90c4a113-2007-4418-abfb-5bac5abb5dc6.tif
