 ,Area,Mean,Min,Max,Length,file
1,0.090,22.299,8.949,57.466,6.371,a6770882-2503-4701-ab10-808ed6cf079f.tif
2,0.026,23.481,6.563,40.399,1.252,a6770882-2503-4701-ab10-808ed6cf079f.tif
3,0.013,55.316,55.316,55.316,0.240,a6770882-2503-4701-ab10-808ed6cf079f.tif
4,0.026,43.400,10.546,76.254,1.140,a6770882-2503-4701-ab10-808ed6cf079f.tif
5,0.026,32.167,5.772,58.561,1.269,a6770882-2503-4701-ab10-808ed6cf079f.tif
6,0.039,24.478,10.286,43.393,2.415,a6770882-2503-4701-ab10-808ed6cf079f.tif
7,0.013,29.452,29.452,29.452,0.418,a6770882-2503-4701-ab10-808ed6cf079f.tif
8,0.026,46.999,20.105,73.893,0.611,a6770882-2503-4701-ab10-808ed6cf079f.tif
9,0.039,35.049,3.000,70.873,1.743,a6770882-2503-4701-ab10-808ed6cf079f.tif
10,0.026,44.276,33.415,55.136,1.045,a6770882-2503-4701-ab10-808ed6cf079f.tif
11,0.013,50.937,50.937,50.937,0.360,a6770882-2503-4701-ab10-808ed6cf079f.tif
12,0.052,39.167,13.805,77.318,3.096,a6770882-2503-4701-ab10-808ed6cf079f.tif
13,0.026,37.063,34.986,39.140,0.885,a6770882-2503-4701-ab10-808ed6cf079f.tif
14,0.026,49.619,19.786,79.452,1.179,a6770882-2503-4701-ab10-808ed6cf079f.tif
15,0.013,46.333,46.333,46.333,0.491,a6770882-2503-4701-ab10-808ed6cf079f.tif
16,0.013,82.234,82.234,82.234,0.347,a6770882-2503-4701-ab10-808ed6cf079f.tif
17,0.026,45.169,22.735,67.603,0.636,a6770882-2503-4701-ab10-808ed6cf079f.tif
18,0.013,85.998,85.998,85.998,0.240,a6770882-2503-4701-ab10-808ed6cf079f.tif
19,0.013,99.619,99.619,99.619,0.211,a6770882-2503-4701-ab10-808ed6cf079f.tif
