"","file","mushroom","thin","stubby","filopodia"
"1","CellCounter_ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,3,3
"2","CellCounter_ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,7,1,1
"3","CellCounter_ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,0,8
"4","CellCounter_ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,2,6
"5","CellCounter_ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,4,2
"6","CellCounter_ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,1,4
"7","CellCounter_ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,4,6
"8","CellCounter_ER_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,5,5
"9","CellCounter_ER_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,6,0,4
"10","CellCounter_ER_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,4,2
"11","CellCounter_FFAT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",4,2,1,0
"12","CellCounter_FFAT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,11,5
"13","CellCounter_FFAT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,0,3
"14","CellCounter_FFAT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,2,10,3
"15","CellCounter_FFAT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,3,1,4
"16","CellCounter_FFAT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,8,1
"17","CellCounter_FFAT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,2,6,0
"18","CellCounter_FFAT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,0
"19","CellCounter_FFAT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,1,7,1
"20","CellCounter_FFAT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,3,3
"21","CellCounter_mCh_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,7,0
"22","CellCounter_mCh_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,8,4
"23","CellCounter_mCh_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,3,1
"24","CellCounter_mCh_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,4,3
"25","CellCounter_mCh_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,8,1,5
"26","CellCounter_mCh_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,3,3,3
"27","CellCounter_mCh_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,2,10,0
"28","CellCounter_mCh_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,5,12,2
"29","CellCounter_mCh_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,0,1
"30","CellCounter_mCh_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,3,2,2
"31","CellCounter_Mut2_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,2,3
"32","CellCounter_Mut2_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,0,2
"33","CellCounter_Mut2_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,3,1
"34","CellCounter_Mut2_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,3,2,0
"35","CellCounter_Mut2_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,1,5,2
"36","CellCounter_Mut2_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,5,1
"37","CellCounter_Mut2_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,2,8
"38","CellCounter_Mut2_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,0,5,1
"39","CellCounter_Mut2_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,2,1,4
"40","CellCounter_Mut2_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",6,1,5,2
"41","CellCounter_RBD_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,0,3,3
"42","CellCounter_RBD_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,4,0,3
"43","CellCounter_RBD_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,6,2
"44","CellCounter_RBD_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,7,1
"45","CellCounter_RBD_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,5,3
"46","CellCounter_RBD_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,5
"47","CellCounter_RBD_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",4,5,0,2
"48","CellCounter_RBD_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",3,2,2,1
"49","CellCounter_RBD_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,3,2,6
"50","CellCounter_WT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,2,1,0
"51","CellCounter_WT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,0,3,6
"52","CellCounter_WT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,5,1
"53","CellCounter_WT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,6,1
"54","CellCounter_WT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.xml",1,1,2,7
"55","CellCounter_WT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,0,7,1
"56","CellCounter_WT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.xml",2,1,3,3
"57","CellCounter_WT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,2,6,3
"58","CellCounter_WT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,11,3
"59","CellCounter_WT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.xml",0,0,1,10
