 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_2507c3be-5381-48d1-b9b1-9ebcd9bcec47.tif:growth cone:1,3.980,253.286,70.842,190.363,133,463,1008.054,242,19503.000
2,SUM_2507c3be-5381-48d1-b9b1-9ebcd9bcec47.tif:growth cone background:1,3.980,95.714,22.854,72.150,58,163,380.934,90,7370.000
