 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_CNC97_DIV15_4_GC.tif:growth cone:1,3.153,75.410,15.255,67,50,122,237.761,72,4600
2,MAX_CNC97_DIV15_4_GC.tif:growth cone background:1,3.153,66.262,10.116,72,46,92,208.919,66,4042
