 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_c4413323-53f2-44c5-ac83-939b1b0a1737.tif:growth cone:1,11.009,96.484,5.172,91.025,90,111,1062.222,96,20551
2,SUM_c4413323-53f2-44c5-ac83-939b1b0a1737.tif:growth cone background:1,11.009,90.817,1.807,90.023,90,102,999.836,90,19344
