 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_0b7b5157-96c2-480b-85e2-f15fe9b5f5a6.tif:growth cone:1,9.769,135.852,26.912,116.736,90,259,1327.119,132,25676
2,SUM_0b7b5157-96c2-480b-85e2-f15fe9b5f5a6.tif:growth cone background:1,9.769,132.513,31.229,116.312,81,241,1294.504,128,25045
