 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_976c54b1-e43d-4dc3-a877-c89428e1b82a.tif:growth cone:1,3.566,226.696,36.677,194.191,158,376,808.490,224,15642
2,SUM_976c54b1-e43d-4dc3-a877-c89428e1b82a.tif:growth cone background:1,3.566,199.957,30.101,189.879,128,274,713.127,198,13797
