 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_17d21473-af3c-4a8b-86cd-0c44a6743b5b.tif:growth cone:1,3.980,98.857,22.003,106.172,56,160,393.443,99,7612
2,SUM_17d21473-af3c-4a8b-86cd-0c44a6743b5b.tif:growth cone background:1,3.980,74.883,14.173,67.121,56,134,298.028,72,5766
