 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_DMSO-for-BFA_6_GC.tif:growth cone:1,145.086,14.850,11.534,8,3,210,2154.527,12,41684
2,MAX_DMSO-for-BFA_6_GC.tif:growth cone background:1,145.086,4.397,2.890,3,3,65,637.871,4,12341
