 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_b7855715-7057-4a1a-9921-080c8dfdd95a.tif:growth cone:1,8.580,12.277,11.575,3.932,0,61,105.338,8,2038.000
2,SUM_b7855715-7057-4a1a-9921-080c8dfdd95a.tif:growth cone background:1,8.580,2.229,2.263,0.020,0,10,19.124,1,370.000
