 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_b965e7ef-098a-401e-992a-c982a7d7449b.tif:growth cone:1,11.113,91.284,40.348,86.869,16,221,1014.412,90,19626
2,SUM_b965e7ef-098a-401e-992a-c982a7d7449b.tif:growth cone background:1,11.113,28.372,25.060,6.863,1,159,315.292,20,6100
