 ,Area,Mean,Min,Max,Length,file
1,0.078,60.984,55.334,65.782,0.573,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
2,0.181,39.799,24.619,54.827,1.556,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
3,0.737,33.928,10.192,65.027,6.452,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
4,0.258,29.093,19.363,59.466,2.263,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
5,0.155,31.657,19.904,54.646,1.352,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
6,0.155,41.334,18.967,67.028,1.284,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
7,0.207,44.020,23.224,93.032,1.786,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
8,0.142,46.652,33.207,69.680,1.208,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
9,0.090,42.369,22.201,57.579,0.694,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
10,0.065,51.726,44.555,59.899,0.506,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
11,0.078,46.828,43.583,50.477,0.653,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
12,0.090,49.816,36.113,67.836,0.698,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
13,0.168,31.455,10.911,59.452,1.441,2ef9a6dd-22c5-4b0f-a6f7-9f3ad3dcccdc.tif
