 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:cell body:1,125.031,333.625,158.894,147.502,123.000,1088.000,0.000,0.000,41713.487,306.000,807038.000,0,0.000
2,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:nucleus:1,55.460,380.183,116.746,347.570,181.000,1009.000,0.000,0.000,21085.046,357.000,407936.000,0,0.000
3,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:cytoplasm:1,69.571,296.510,177.250,147.502,123.000,1088.000,0.000,0.000,20628.441,224.000,399102.000,0,0.000
4,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 1:1,0.000,121.000,0.000,121.000,121.000,121.000,80.671,55.966,6.254,121.000,121.000,1,0.000
5,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 1 background:1,0.000,120.000,0.000,120.000,120.000,120.000,82.944,58.239,6.202,120.000,120.000,1,0.000
6,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 2:1,0.000,121.000,0.000,121.000,121.000,121.000,80.671,55.966,6.254,121.000,121.000,1,0.000
7,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 2 background:1,0.000,120.000,0.000,120.000,120.000,120.000,82.944,58.239,6.202,120.000,120.000,1,0.000
8,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 3:1,0.000,121.000,0.000,121.000,121.000,121.000,80.671,55.966,6.254,121.000,121.000,1,0.000
9,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:dendrite 3 background:1,0.000,120.000,0.000,120.000,120.000,120.000,82.944,58.239,6.202,120.000,120.000,1,0.000
10,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:AIS:1,2.171,288.364,51.919,310.017,196.313,421.087,0.000,0.000,625.997,287.530,12111.269,0,9.348
11,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:AIS background:1,2.171,125.028,20.811,117.455,117.246,224.284,0.000,0.000,271.418,119.019,5251.161,0,9.348
12,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:axon:1,6.771,286.869,113.439,223.294,182.903,850.011,0.000,0.000,1942.398,247.707,37579.904,0,29.588
13,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:axon background:1,6.771,138.425,43.885,118.414,117.000,358.312,0.000,0.000,937.275,121.173,18133.622,0,29.588
14,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:growth cone:1,36.698,150.090,29.893,133.615,118.000,323.000,0.000,0.000,5507.989,140.000,106564.000,0,0.000
15,SUM_9883d0b7-c369-441b-8e42-2c3dd856c10b.tif:growth cone background:1,36.698,120.049,9.434,117.814,117.000,256.000,0.000,0.000,4405.553,118.000,85235.000,0,0.000
