 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_ERGIC53_DIV3_6_GC.tif:growth cone:1,12.870,9.747,5.144,7,2,36,125.445,9,2427
2,MAX_ERGIC53_DIV3_6_GC.tif:growth cone background:1,12.870,2.309,1.102,2,1,6,29.720,2,575
