 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_SURF4_DIV15_5_GC.tif:growth cone:1,13.697,4.709,3.113,3,1,16,64.506,4,1248
2,MAX_SURF4_DIV15_5_GC.tif:growth cone background:1,13.697,0.758,1.555,1,0,19,10.389,1,201
