 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_BCAP31-biotin_DIV15_4_GC.tif:growth cone:1,21.295,12.078,15.648,3,1,104,257.195,7,4976
2,MAX_BCAP31-biotin_DIV15_4_GC.tif:growth cone background:1,21.295,9.888,9.041,4,1,74,210.573,8,4074
