 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_SURF4_DIV3_7_GC.tif:growth cone:1,28.531,3.998,1.145,4,3,11,114.074,4,2207.000
2,MAX_SURF4_DIV3_7_GC.tif:growth cone background:1,28.531,3.027,0.174,3,3,5,86.369,3,1671.000
