 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_ERGIC53_DIV15_8_GC.tif:growth cone:1,8.270,17.675,9.978,10,6,69,146.171,15,2828
2,MAX_ERGIC53_DIV15_8_GC.tif:growth cone background:1,8.270,7.438,8.172,5,3,62,61.508,5,1190
