 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_2cd406d9-2cef-4120-b130-dbb24b2e38f4.tif:growth cone:1,37.732,123.360,27.132,103.727,97,261,4654.582,113,90053
2,SUM_2cd406d9-2cef-4120-b130-dbb24b2e38f4.tif:growth cone background:1,37.732,99.286,3.454,98.041,96,151,3746.232,99,72479
