 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_SLC38A1_WT_5_GC.tif:growth cone:1,4.032,34.192,12.658,21,11,68,137.850,33,2667
2,MAX_SLC38A1_WT_5_GC.tif:growth cone background:1,4.032,19.590,7.599,17,7,44,78.978,18,1528
