 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_BCAP31-biotin_WT_3_GC.tif:growth cone:1,5.996,13.534,5.628,11,4,40,81.149,12,1570
2,MAX_BCAP31-biotin_WT_3_GC.tif:growth cone background:1,5.996,11.293,5.092,9,4,37,67.710,10,1310
