 ,Area,Mean,Min,Max,Length,file
1,0.116,182.711,50.732,251.587,0.913,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
2,0.039,85.143,58.516,119.792,0.285,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
3,0.065,147.259,76.322,235.337,0.554,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
4,0.052,142.901,107.654,161.065,0.352,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
5,0.065,117.644,53.845,213.924,0.525,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
6,0.090,120.658,60.971,161.060,0.699,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
7,0.078,154.188,69.189,208.925,0.609,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
8,0.401,92.897,39.778,190.930,3.415,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
9,0.129,68.337,28.084,135.780,1.034,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
10,0.078,83.669,39.413,142.858,0.591,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
11,0.065,166.137,80.698,216.676,0.519,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
12,0.116,76.932,23.131,181.596,1.000,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
13,0.039,188.381,127.661,241.001,0.301,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
14,0.039,103.298,67.251,132.202,0.248,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
15,0.039,105.312,76.514,140.112,0.332,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
16,0.052,115.787,77.098,138.364,0.352,9cd4cd22-cf0e-4c86-b6a9-c0c23351dd93.tif
