 ,Area,Mean,Min,Max,Length,file
1,0.788,58.351,13.028,250.539,6.937,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
2,0.465,72.114,22.712,193.804,4.047,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
3,0.181,88.593,49.431,134.957,1.539,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
4,0.052,103.182,82.928,124.610,0.396,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
5,0.724,52.189,14.318,148.249,6.337,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
6,0.026,160.029,114.134,205.925,0.190,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
7,0.065,96.332,72.042,106.570,0.501,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
8,0.220,67.670,31.446,191.471,1.851,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
9,0.026,143.654,111.478,175.830,0.153,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
10,0.168,79.589,47.644,181.021,1.453,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
11,0.052,104.995,76.565,138.299,0.425,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
12,0.039,74.124,41.877,112.101,0.248,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
13,0.103,65.218,48.232,96.197,0.851,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
14,0.142,92.840,70.293,141.828,1.222,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
15,0.698,53.405,17.078,132.031,6.075,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
16,0.220,60.970,31.594,89.586,1.903,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
17,0.103,105.706,62.647,142.403,0.836,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
18,0.052,147.467,140.050,163.671,0.421,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
19,0.995,34.703,10.264,102.650,8.653,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
20,0.969,34.549,10.306,99.570,8.431,8e7c0a05-8534-4c01-b2f3-9af76d3c528b.tif
