 ,Area,Mean,Min,Max,Length,file
1,0.129,66.322,13.996,92.348,1.044,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
2,0.078,90.917,54.658,105.256,0.604,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
3,0.168,73.351,49.623,120.087,1.458,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
4,0.039,83.106,69.119,98.449,0.285,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
5,0.039,99.987,69.568,135.352,0.332,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
6,0.065,132.818,61.638,203.951,0.545,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
7,0.168,98.063,48.644,153.026,1.417,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
8,0.207,150.031,68.773,237.507,1.780,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
9,0.103,47.628,29.822,85.005,0.805,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
10,0.052,86.370,44.660,135.202,0.419,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
11,0.039,54.761,35.252,70.883,0.257,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
12,0.039,71.566,43.534,96.809,0.272,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
13,0.258,59.724,35.622,95.090,2.205,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
14,0.039,56.913,45.164,71.280,0.248,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
15,0.052,132.392,52.574,218.837,0.361,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
16,0.052,76.421,66.493,93.583,0.452,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
17,0.052,106.207,74.128,150.871,0.403,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
18,0.375,55.211,27.780,131.803,3.262,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
19,0.039,87.351,57.910,109.321,0.277,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
20,0.078,88.339,37.869,130.067,0.604,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
21,0.026,80.967,64.296,97.638,0.175,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
22,0.271,72.322,16.892,146.285,2.365,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
23,0.039,116.534,64.600,163.064,0.269,4bd50445-9208-4f84-9bb2-67b8f56cfa84.tif
