 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_ERGIC53_GFP_2_GC.tif:growth cone:1,10.079,24.697,16.463,19,8,108,248.925,20,4816
2,MAX_ERGIC53_GFP_2_GC.tif:growth cone background:1,10.079,19.000,12.775,15,5,100,191.501,16,3705
