 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_SURF4_GFP_5_GC.tif:growth cone:1,8.373,6.105,1.249,6,4,10,51.119,6,989
2,MAX_SURF4_GFP_5_GC.tif:growth cone background:1,8.373,5.593,0.916,5,4,9,46.829,5,906
