 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_SURF4_Mut2_4_GC.tif:growth cone:1,3.670,7.352,1.415,7,5,12,26.981,7,522
2,MAX_SURF4_Mut2_4_GC.tif:growth cone background:1,3.670,7.732,1.549,8,6,14,28.376,8,549
