 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,SUM_8263818c-0785-482f-a539-5f6d1cdd9ad5.tif:growth cone:1,145.913,99.052,18.377,83.186,78,255,14452.914,94,279623
2,SUM_8263818c-0785-482f-a539-5f6d1cdd9ad5.tif:growth cone background:1,145.913,78.988,1.626,78.045,78,101,11525.302,78,222982
