"","file","mushroom","thin","stubby","filopodia"
"58","CellCounter_Mut2_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,2,2,6
"59","CellCounter_Mut2_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,6,3,0
"60","CellCounter_Mut2_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,2,4,1
"61","CellCounter_RBD_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,10,4,4
"62","CellCounter_RBD_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,1,7,5
"63","CellCounter_RBD_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,4,3,4
"64","CellCounter_RBD_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,6,7,3
"65","CellCounter_RBD_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,9,2,5
"66","CellCounter_RBD_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,1,1,14
"67","CellCounter_RBD_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,0,3,1
"68","CellCounter_RBD_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,6,5,2
"69","CellCounter_RBD_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,11,2,2
"70","CellCounter_RBD_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,4,5,2
"71","CellCounter_WT_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,1,3,6
"72","CellCounter_WT_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,3,8,5
"73","CellCounter_WT_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,4,4,11
"74","CellCounter_WT_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,3,3,5
"75","CellCounter_WT_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",2,6,2,4
"76","CellCounter_WT_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",0,0,11,12
"77","CellCounter_WT_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",3,1,4,2
"78","CellCounter_WT_C7_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,5,3,3
"79","CellCounter_WT_C8_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,2,5,6
"80","CellCounter_WT_C9_w2491 BP.TIF_MAX.tif_DENDRITE.tif.xml",1,5,8,5
