 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen
1,MAX_WT-BCAP31-biotin_1_GC.tif:growth cone:1,2.791,12.741,6.414,9,5,31,35.561,11,688
2,MAX_WT-BCAP31-biotin_1_GC.tif:growth cone background:1,2.791,8.426,4.105,4,2,23,23.518,8,455
